Equipo,Ciudad,Entrenador,Capitan,Estadio,Aforo,Proveedor,Patrocinador principal,Limite salarial
Athletic Club, Bilbao, Marcelino Garcia4​, Iker Muniain,San Mames,53 289, New Balance, Kutxabank5​,"111,818"
Atletico de Madrid, Madrid, Diego Simeone6​, Koke,Wanda Metropolitano,68 456, Nike, Plus500,"171,606"
Barcelona, Barcelona, Xavi Hernandez 7​, Sergio Busquets,Camp Nou,99 354, Nike8​, Rakuten9​,"97,942"
Cadiz, Cadiz, Sergio Gonzalez10​, Jose Mari,Estadio Nuevo Mirandilla,20 724, Macron11​, Bitci12​,"45,388"
Celta de Vigo, Vigo, Eduardo Coudet14​, Hugo Mallo,Abanca-Balaidos,29 000, Adidas," Estrella Galicia 0,015​","65,530"
Deportivo Alaves, Vitoria, Julio Velazquez16​, Victor Laguardia,Mendizorroza,19 840, Kelme, Zotapay17​,"42,858"
Elche, Elche, Francisco Rodriguez Vilchez18​, Gonzalo Verdu,Martinez Valero,33 732, Nike, TM Real State Group,"41,525"
Espanyol, Barcelona, Vicente Moreno19​, David Lopez,RCDE Stadium,40 000, Kelme20​, Riviera Maya,"77,873"
Getafe, Getafe, Quique Sanchez Flores21​, Djene,Coliseum Alfonso Perez,17 000, Joma, Tecnocasa Group,"64,470"
Granada, Granada, Aitor Karanka 22​, Victor Diaz,Nuevo Los Carmenes,19 336, Nike, Platzi23​,"53,498"
Levante, Valencia, Alessio Lisci 24​, Jose Luis Morales,Ciutat de València,26 354, Macron25​, Gedesco26​,"32,108"
Mallorca, Palma de Mallorca, Javier Aguirre 27​, Manolo Reina,Son Moix,23 142, Nike, aGEL28​,"46,129"
Osasuna, Pamplona, Jagoba Arrasate29​, Oier Sanjurjo,El Sadar30​,23 576, Adidas31​, Verleal,"56,230"
Real Betis, Sevilla, Manuel Pellegrini32​, Joaquin,Benito Villamarin,60 721, Kappa33​, Finetwork34​,"70,864"
Real Madrid, Madrid, Carlo Ancelotti35​, Marcelo,Santiago Bernabeu,81 044, Adidas36​, Emirates37​,"739,163"
Real Sociedad, San Sebastian, Imanol Alguacil38​, Asier Illarramendi,Reale Arena,40 000, Macron, Finetwork39​,"127,704"
Rayo Vallecano, Madrid, Andoni Iraola40​, Oscar Trejo,Estadio de Vallecas,14 790, Umbro, DIGI,"41,829"
Sevilla, Sevilla, Julen Lopetegui41​, Jesus Navas,Estadio RamOn Sanchez-Pizjuan,43 883, Nike42​, Naga43​,"200,399"
Valencia, Valencia, Jose Bordalas44​, Jose Luis Gayà,Mestalla,55 000, Puma45​, Socios.com46​,"30,986"
Villarreal, Villarreal, Unai Emery47​, Mario Gaspar,Estadio de la Ceramica,23 500, Joma, Pamesa Ceramica,"159,292"
